2017-12-02 16:44:03 DEBUG logging:55 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2017-12-02 16:44:03 DEBUG ClassLoaderServiceImpl:137 - Incoming config yielded no classloaders; adding standard SE ones
2017-12-02 16:44:03 DEBUG HibernatePersistenceProvider:104 - Located and parsed 1 persistence units; checking each
2017-12-02 16:44:03 DEBUG HibernatePersistenceProvider:112 - Checking persistence-unit [name=JPADB, explicit-provider=org.hibernate.jpa.HibernatePersistenceProvider] against incoming persistence unit name [JPADB]
2017-12-02 16:44:03 DEBUG ProviderChecker:106 - Persistence-unit [JPADB] requested PersistenceProvider [org.hibernate.jpa.HibernatePersistenceProvider]
2017-12-02 16:44:03 DEBUG LogHelper:117 - PersistenceUnitInfo [
	name: JPADB
	persistence provider classname: org.hibernate.jpa.HibernatePersistenceProvider
	classloader: null
	excludeUnlistedClasses: false
	JTA datasource: null
	Non JTA datasource: null
	Transaction type: RESOURCE_LOCAL
	PU root URL: file:/home/lenovo/eclipse-workspace/JPAInJavaSE/target/classes/
	Shared Cache Mode: null
	Validation Mode: null
	Jar files URLs []
	Managed classes names [
		com.example.jpa.se.entity.Address]
	Mapping files names []
	Properties [
		javax.persistence.jdbc.driver: org.postgresql.Driver
		javax.persistence.jdbc.password: asdf1234
		javax.persistence.jdbc.url: jdbc:postgresql://localhost:5432/jpademo
		hibernate.dialect: org.hibernate.dialect.PostgreSQLDialect
		hibernate.show_sql: true
		hibernate.format_sql: true
		hibernate.hbm2ddl.auto: update
		javax.persistence.jdbc.user: postgres]
2017-12-02 16:44:03 DEBUG IntegratorServiceImpl:63 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2017-12-02 16:44:03 DEBUG IntegratorServiceImpl:63 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2017-12-02 16:44:03 DEBUG IntegratorServiceImpl:63 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2017-12-02 16:44:03 DEBUG IntegratorServiceImpl:63 - Adding Integrator [org.hibernate.jpa.event.spi.JpaIntegrator].
2017-12-02 16:44:03 DEBUG StrategySelectorImpl:79 - Registering named strategy selector [org.hibernate.dialect.Dialect] : [MySQL5] -> [org.hibernate.dialect.MySQL5Dialect] (replacing [org.hibernate.dialect.MySQL5Dialect])
2017-12-02 16:44:03 DEBUG StrategySelectorImpl:79 - Registering named strategy selector [org.hibernate.dialect.Dialect] : [MySQL5InnoDB] -> [org.hibernate.dialect.MySQL5InnoDBDialect] (replacing [org.hibernate.dialect.MySQL5InnoDBDialect])
2017-12-02 16:44:03 INFO  Version:54 - HHH000412: Hibernate Core {4.3.6.Final}
2017-12-02 16:44:03 INFO  Environment:239 - HHH000206: hibernate.properties not found
2017-12-02 16:44:03 INFO  Environment:346 - HHH000021: Bytecode provider name : javassist
2017-12-02 16:44:03 DEBUG ServiceBinding:85 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@a74868d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration boolean -> org.hibernate.type.BooleanType@a74868d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@a74868d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4fb64261
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@7276c8cd
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration yes_no -> org.hibernate.type.YesNoType@150c158
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@2eda0940
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration byte -> org.hibernate.type.ByteType@2eda0940
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2eda0940
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration character -> org.hibernate.type.CharacterType@47db50c5
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration char -> org.hibernate.type.CharacterType@47db50c5
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@47db50c5
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@78186a70
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration short -> org.hibernate.type.ShortType@78186a70
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@78186a70
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration integer -> org.hibernate.type.IntegerType@548ad73b
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration int -> org.hibernate.type.IntegerType@548ad73b
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@548ad73b
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@2f0a87b3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration long -> org.hibernate.type.LongType@2f0a87b3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Long -> org.hibernate.type.LongType@2f0a87b3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@2fd66ad3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration float -> org.hibernate.type.FloatType@2fd66ad3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@2fd66ad3
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@6fb0d3ed
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration double -> org.hibernate.type.DoubleType@6fb0d3ed
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@6fb0d3ed
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@103f852
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@103f852
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@1da51a35
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@1da51a35
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration string -> org.hibernate.type.StringType@768b970c
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.lang.String -> org.hibernate.type.StringType@768b970c
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@134593bf
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@7dc222ae
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration url -> org.hibernate.type.UrlType@382db087
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.net.URL -> org.hibernate.type.UrlType@382db087
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration date -> org.hibernate.type.DateType@2698dc7
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.sql.Date -> org.hibernate.type.DateType@2698dc7
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration time -> org.hibernate.type.TimeType@48a242ce
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@48a242ce
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration timestamp -> org.hibernate.type.TimestampType@1ad282e0
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@1ad282e0
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@1ad282e0
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@5e955596
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration calendar -> org.hibernate.type.CalendarType@dbd940d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@dbd940d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@dbd940d
2017-12-02 16:44:03 DEBUG BasicTypeRegistry:146 - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@6c9f5c0d
